metric,pearson_r,pearson_p,spearman_r,spearman_p
rotatable_bonds,0.5502694381401232,0.06376933462394332,0.6160835192048443,0.03291432197369489
num_heavy_atoms,0.754857197437694,0.004541011593932214,0.8491315933951105,0.00047511032076402737
mol_weight,0.7528905366552907,0.004709071196441121,0.8391608391608393,0.0006428259886278202
num_HBD,0.04813417906315716,0.8819099632050504,-0.11048065822730908,0.7324905235863844
num_HBA,0.2214638966667964,0.48909519601683327,0.26390490967982855,0.40719889044982205
